category,language_pair,src_lang,tgt_lang,direction,late_submission,system_type,team,system,instrument,score
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,gators,gators_primary,BLEU,19.38
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,gators,gators_primary,METEOR,42.89
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,gators,gators_primary,TER,63.89
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,gators,gators_primary,CHRF++,52.34
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,gators,gators_primary,BERTScore,86.95
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,gators,gators_primary,COMET,83.17
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,primary,VoxNexus-Translate,VoxNexus-Translate_primary,BLEU,19.23
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,primary,VoxNexus-Translate,VoxNexus-Translate_primary,METEOR,42.62
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,primary,VoxNexus-Translate,VoxNexus-Translate_primary,TER,60.5
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,primary,VoxNexus-Translate,VoxNexus-Translate_primary,CHRF++,51.78
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,primary,VoxNexus-Translate,VoxNexus-Translate_primary,BERTScore,86.51
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,True,primary,VoxNexus-Translate,VoxNexus-Translate_primary,COMET,83.31
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,KrenTransV0-1,KrenTransV0-1_primary,BLEU,16.64
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,KrenTransV0-1,KrenTransV0-1_primary,METEOR,41.72
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,KrenTransV0-1,KrenTransV0-1_primary,TER,63.59
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,KrenTransV0-1,KrenTransV0-1_primary,CHRF++,51.22
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,KrenTransV0-1,KrenTransV0-1_primary,BERTScore,86.63
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,KrenTransV0-1,KrenTransV0-1_primary,COMET,82.9
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,BVSLP,BVSLP_primary,BLEU,16.44
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,BVSLP,BVSLP_primary,METEOR,38.1
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,BVSLP,BVSLP_primary,TER,66.71
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,BVSLP,BVSLP_primary,CHRF++,48.64
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,BVSLP,BVSLP_primary,BERTScore,85.44
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,BVSLP,BVSLP_primary,COMET,83.23
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,ADI-KIIT,ADI-KIIT_primary,BLEU,15.57
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,ADI-KIIT,ADI-KIIT_primary,METEOR,39.91
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,ADI-KIIT,ADI-KIIT_primary,TER,65.52
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,ADI-KIIT,ADI-KIIT_primary,CHRF++,50.06
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,ADI-KIIT,ADI-KIIT_primary,BERTScore,86.3
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,ADI-KIIT,ADI-KIIT_primary,COMET,82.36
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,Winterpeg,Winterpeg_primary,BLEU,15.35
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,Winterpeg,Winterpeg_primary,METEOR,37.99
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,Winterpeg,Winterpeg_primary,TER,65.77
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,Winterpeg,Winterpeg_primary,CHRF++,48.32
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,Winterpeg,Winterpeg_primary,BERTScore,85.64
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,Winterpeg,Winterpeg_primary,COMET,80.96
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,EROL,EROL_primary,BLEU,15.31
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,EROL,EROL_primary,METEOR,39.22
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,EROL,EROL_primary,TER,65.76
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,EROL,EROL_primary,CHRF++,49.42
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,EROL,EROL_primary,BERTScore,85.91
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,EROL,EROL_primary,COMET,81.92
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,RozarNLP-cr7,RozarNLP-cr7_primary,BLEU,15.24
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,RozarNLP-cr7,RozarNLP-cr7_primary,METEOR,36.91
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,RozarNLP-cr7,RozarNLP-cr7_primary,TER,72.4
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,RozarNLP-cr7,RozarNLP-cr7_primary,CHRF++,49.53
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,RozarNLP-cr7,RozarNLP-cr7_primary,BERTScore,86.1
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,RozarNLP-cr7,RozarNLP-cr7_primary,COMET,82.15
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,BRS-NK,BRS-NK_primary,BLEU,14.96
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,BRS-NK,BRS-NK_primary,METEOR,36.66
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,BRS-NK,BRS-NK_primary,TER,66.75
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,BRS-NK,BRS-NK_primary,CHRF++,47.81
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,BRS-NK,BRS-NK_primary,BERTScore,85.42
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,BRS-NK,BRS-NK_primary,COMET,80.75
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,DoDS-IITPKD,DoDS-IITPKD_primary,BLEU,14.73
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,DoDS-IITPKD,DoDS-IITPKD_primary,METEOR,38.19
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,DoDS-IITPKD,DoDS-IITPKD_primary,TER,66.18
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,DoDS-IITPKD,DoDS-IITPKD_primary,CHRF++,49.07
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,DoDS-IITPKD,DoDS-IITPKD_primary,BERTScore,85.74
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,DoDS-IITPKD,DoDS-IITPKD_primary,COMET,81.59
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,Decepticons-IIITH,Decepticons-IIITH_primary,BLEU,14.09
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,Decepticons-IIITH,Decepticons-IIITH_primary,METEOR,35.41
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,Decepticons-IIITH,Decepticons-IIITH_primary,TER,73.78
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,Decepticons-IIITH,Decepticons-IIITH_primary,CHRF++,47.83
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,Decepticons-IIITH,Decepticons-IIITH_primary,BERTScore,85.27
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,Decepticons-IIITH,Decepticons-IIITH_primary,COMET,80.59
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,LTRC_Plural,LTRC_Plural_primary,BLEU,14.09
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,LTRC_Plural,LTRC_Plural_primary,METEOR,35.4
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,LTRC_Plural,LTRC_Plural_primary,TER,73.21
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,LTRC_Plural,LTRC_Plural_primary,CHRF++,47.75
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,LTRC_Plural,LTRC_Plural_primary,BERTScore,85.41
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,LTRC_Plural,LTRC_Plural_primary,COMET,80.87
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,DELAB-IIITM,DELAB-IIITM_primary,BLEU,13.72
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,DELAB-IIITM,DELAB-IIITM_primary,METEOR,34.79
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,DELAB-IIITM,DELAB-IIITM_primary,TER,73.67
Category 1,English to Assamese,eng_Latn,asm_Beng,en2indic,False,primary,DELAB-IIITM,DELAB-IIITM_primary,CHRF++,47.56
